"Cell","Label","Area","Mean_Fluor_Dapi","Mean_Fluor_Piwi","Mean_Fluor_Red","Dapi_Pos","Piwi_Status","Red_Pos","Dapi_Red_Pos"
1,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",32.927,1370.621,268.856,91.834,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
2,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",27.98,2051.866,256.619,70.681,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
3,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",25.816,2091.848,149.102,73.086,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
4,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",28.392,1983.779,292.305,68,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
5,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",28.65,2116.613,240.662,61.421,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
6,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",30.969,1509.273,237.038,67.371,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
7,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",32.412,1770.35,179.393,61.111,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
8,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",25.558,1330.131,204.038,56.514,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
9,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",18.86,1102.063,307.538,68.795,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
10,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",25.919,1508.268,213.052,73.525,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
11,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",32.876,1814.177,237.588,53.85,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
12,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",25.352,1895.642,185.581,47.315,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
13,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",28.753,2300.656,220.814,58.158,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
14,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",26.022,1907.473,253.335,70.457,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
15,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",46.273,2126.912,246.151,63.055,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
16,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",41.069,2407.304,273.714,66.434,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
17,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",26.022,2126.032,489.853,73.022,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
18,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",26.228,2372.43,269.316,74.945,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
19,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",51.941,2307.441,270.378,68.763,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
20,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",49.571,1926.23,305.214,65.368,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
21,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",49.932,2063.556,270.96,77.8,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
22,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",55.703,2052.742,263.73,65.831,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
23,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",48.592,2250.19,317.879,64.266,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
24,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",32.154,2113.521,368.077,69.857,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
25,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",27.98,2024.044,275.273,60.085,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
26,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",12.109,1596.111,472.281,53.072,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
27,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",24.425,1993.945,323.428,64.188,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
28,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",46.788,1973.433,192.786,43.539,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
29,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",51.89,2100.769,493.814,57.687,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
30,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",40.141,2229.788,308.435,62.979,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
31,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",27.774,2275.117,223.97,58.393,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
32,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",20.302,1624.756,211.211,46.604,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
33,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",38.08,2490.604,264.769,58.16,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
34,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",30.402,2342.749,318.871,55.692,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
35,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",17.108,1773.401,200.256,60.575,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
36,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",29.217,2179.638,315.102,78.099,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
37,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",28.856,2361.309,382.102,64.098,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
